Name,scope name,LOC,CYCLO,MAXNESTING,NOP,NOAV,NOLV,FANOUT,FANIN,ATFD,FDP,CINT,CC,CM,LAA,Brain Method
credentials,DataSourceRealm,9,1,0,2,4,1,2,1,0,0,0,0,0,1,false
setOomParachute,NioEndpoint,3,1,0,1,2,0,0,1,0,0,0,1,1,1,false
run,1,4,1,0,0,1,0,3,0,0,0,0,0,0,1,false
getJmxName,ContainerBase,3,1,0,0,1,0,0,7,0,0,0,4,5,1,false
getMapSendOptions,ReplicatedContext,3,1,0,0,1,0,0,0,0,0,0,0,0,1,false
getMcastFrequency,McastService,3,1,0,0,0,0,1,0,0,0,0,0,0,1,false
getContent,WebXml2Jk,8,2,1,1,3,2,3,3,0,0,0,0,0,1,false
jj_3R_17,ELParser,9,3,2,0,2,1,1,1,0,0,0,0,0,1,false
OperationInfo,OperationInfo,5,1,0,0,0,0,0,2,0,0,0,2,2,1,false
MemberImpl,MemberImpl,4,1,0,4,4,0,1,0,0,0,0,0,0,1,false
implementsIterationTag,CustomTag,3,1,0,0,1,0,0,2,0,0,0,1,2,1,false
doOptions,HttpServlet,51,20,2,2,20,11,5,1,0,0,1,0,0,1,false
isInfoEnabled,DirectJDKLog,3,1,0,0,2,0,1,0,0,0,0,0,0,1,false
setRequireReauthentication,SingleSignOn,3,1,0,1,2,0,0,0,0,0,0,0,0,1,false
SetPropertiesRule,SetPropertiesRule,5,1,0,1,0,0,0,0,0,0,0,0,0,1,false
findUri,ValidateVisitor,22,9,3,2,7,5,8,1,2,1,2,1,1,0,false
unregisterHost,MapperListener,15,4,2,1,8,2,9,1,1,1,8,0,0,0.83,false
endRequest,InternalNioOutputBuffer,22,4,1,0,6,0,3,2,0,0,2,1,2,1,false
visit,FirstPassVisitor,26,5,4,1,7,3,5,0,1,1,1,0,0,0.75,false
lifecycleEvent,AccessLogListener,14,5,1,1,8,1,4,0,2,2,1,0,0,0.50,false
postDeregister,Registry,2,1,0,0,0,0,0,0,0,0,0,0,0,1,false
getBodyContent,BodyTagSupport,3,1,0,0,1,0,0,0,0,0,0,0,0,1,false
getPageInfo,Compiler,3,1,0,0,1,0,0,15,0,0,0,13,15,1,false
sessionEvent,SingleSignOn,36,8,1,1,7,2,11,0,3,1,6,0,0,0.50,false
findChildWithAtt,DomUtil,18,10,2,4,6,1,5,1,0,0,0,1,1,1,false
forwardToErrorPage,FormAuthenticator,14,1,2,3,11,3,10,1,1,1,10,0,0,0.67,false
genPreambleImports,Generator,10,2,1,0,3,1,8,2,0,0,5,0,0,1,false
maybeQuote2,ServerCookie,27,13,6,5,6,0,9,2,0,0,0,0,0,1,false
removeFromQueue,MessageDispatchInterceptor,3,1,0,0,1,0,1,1,0,0,1,0,0,1,false
getQuery,URL,5,1,0,0,1,0,0,0,0,0,0,0,0,1,false
setCoyoteResponse,Response,4,1,0,1,3,0,1,2,1,1,1,1,2,0.67,false
removeLifecycleListener,StandardThreadExecutor,3,1,0,1,2,0,1,0,0,0,1,0,0,1,false
isNull,ByteChunk,3,1,0,0,1,0,0,2,0,0,0,1,2,1,false
isReadOnly,ValueExpressionLiteral,3,1,0,1,0,0,0,0,0,0,0,0,0,1,false
threadStart,PoolTcpEndpoint,6,1,0,0,2,0,6,1,1,1,1,0,0,0.67,false
