Name,scope name,LOC,CYCLO,MAXNESTING,NOP,NOAV,NOLV,FANOUT,FANIN,ATFD,FDP,CINT,CC,CM,LAA,Brain Method
copyResource,WebdavServlet,155,27,3,2,25,16,30,2,0,0,8,0,0,1,true
copyResource,WebdavServlet,70,8,5,4,13,9,13,2,0,0,0,0,0,1,true
deleteResource,WebdavServlet,64,8,3,4,15,9,12,3,0,0,0,0,0,1,true
deleteCollection,WebdavServlet,68,10,6,4,14,9,14,2,0,0,1,0,0,1,true
parseProperties,WebdavServlet,270,35,15,5,30,11,33,1,18,1,12,0,0,0.05,true
parseLockNullProperties,WebdavServlet,221,23,15,5,27,12,28,1,3,1,5,0,0,0.25,true
parseExpression,ExpressionParseTree,82,20,4,1,21,3,19,1,6,2,4,0,0,0.60,true
substituteVariables,SSIMediator,70,16,3,1,13,12,16,7,0,0,0,7,7,1,true
process,SSIProcessor,84,16,9,3,24,15,21,2,5,2,4,2,2,0.55,true
listen,NioReceiver,80,9,5,0,13,10,45,1,0,0,2,0,0,1,true
doLoop,ParallelNioSender,67,11,6,4,20,14,37,1,8,3,18,0,0,0.64,true
add,FastQueue,69,19,4,3,17,3,11,1,0,0,9,1,1,1,true
remove,FastQueue,65,17,4,0,13,3,8,1,0,0,7,1,1,1,true
save,MemoryUserDatabase,99,15,3,0,13,8,29,2,0,0,5,1,1,1,true
addLogger,ClassLoaderLogManager,88,11,3,1,20,15,28,1,5,2,3,0,0,0.17,true
readConfiguration,ClassLoaderLogManager,72,16,5,1,16,13,26,2,3,2,0,1,1,0.40,true
readConfiguration,ClassLoaderLogManager,60,7,4,2,21,13,21,2,5,2,0,0,0,0.29,true
Function,ELParser,74,15,3,0,26,5,11,1,5,2,6,0,0,0.67,true
cacheLoad,ProxyDirContext,90,19,5,1,21,13,17,1,21,2,7,0,0,0.25,true
rebind,FileDirContext,61,11,5,3,12,10,13,1,0,0,2,0,0,1,true
allocate,ResourceCache,85,15,5,1,27,14,4,1,2,1,0,1,1,0.89,true
getObjectInstance,BeanFactory,134,29,14,4,27,25,33,0,0,0,0,0,0,1,true
getObjectInstance,EjbFactory,109,8,5,4,25,18,15,0,0,0,0,0,0,1,true
getObjectInstance,ResourceEnvFactory,59,7,6,4,17,12,11,0,0,0,0,0,0,1,true
getObjectInstance,ResourceFactory,88,9,6,4,24,18,15,0,0,0,0,0,0,1,true
getObjectInstance,TransactionFactory,59,7,6,4,17,12,11,0,0,0,0,0,0,1,true
getObjectInstance,ServiceRefFactory,247,35,8,4,71,58,50,0,1,1,3,0,0,0,true
process,AjpAprProcessor,123,13,5,1,29,10,24,1,12,4,15,1,1,0.79,true
action,AjpAprProcessor,137,19,10,2,38,15,30,1,6,3,17,1,1,0.83,true
prepareRequest,AjpAprProcessor,241,39,7,0,61,26,52,1,22,5,47,0,0,0.76,true
parseHost,AjpAprProcessor,70,13,4,1,19,14,15,1,10,4,14,0,0,0.62,true
process,AjpProcessor,123,14,5,1,28,10,23,1,11,3,13,0,1,0.82,true
action,AjpProcessor,132,18,10,2,36,15,28,1,6,3,17,0,1,0.82,true
process,Http11AprProcessor,175,30,5,1,41,10,38,1,22,7,31,1,1,0.79,true
action,Http11AprProcessor,261,53,20,2,90,37,42,1,10,5,25,1,1,0.90,true
prepareRequest,Http11AprProcessor,189,34,4,0,47,23,40,1,14,6,29,0,0,0.79,true
parseHost,Http11AprProcessor,66,13,4,1,21,13,11,1,9,5,10,0,0,0.61,true
prepareResponse,Http11AprProcessor,159,33,3,0,39,14,31,1,12,5,25,0,0,0.76,true
parseRequestLine,InternalAprInputBuffer,179,42,4,1,18,6,11,1,0,0,8,1,1,1,true
parseHeader,InternalAprInputBuffer,157,29,5,0,23,9,6,1,0,0,3,0,0,1,true
process,Http11NioProcessor,179,35,7,1,41,16,49,1,29,9,38,0,1,0.72,true
action,Http11NioProcessor,230,57,21,2,67,22,53,1,24,6,40,0,1,0.78,true
prepareRequest,Http11NioProcessor,190,34,4,0,47,23,40,1,14,6,29,0,0,0.79,true
parseHost,Http11NioProcessor,66,13,4,1,21,13,11,1,9,5,10,0,0,0.61,true
prepareResponse,Http11NioProcessor,158,33,3,0,39,14,31,1,9,4,25,0,0,0.81,true
parseRequestLine,InternalNioInputBuffer,172,47,5,1,26,6,13,1,0,0,8,1,1,1,true
parseHeader,InternalNioInputBuffer,176,37,6,0,30,2,5,1,15,1,3,0,0,0.79,true
process,Http11Processor,181,23,5,1,43,16,40,1,22,7,33,0,1,0.80,true
action,Http11Processor,194,44,19,2,54,15,36,1,6,3,27,0,1,0.92,true
parseHost,Http11Processor,70,13,4,1,22,14,14,1,8,4,10,0,0,0.64,true
parseRequestLine,InternalInputBuffer,165,38,4,0,17,6,11,1,0,0,8,1,1,1,true
parseHeader,InternalInputBuffer,158,29,5,0,23,9,6,1,0,0,3,0,0,1,true
endElement,Digester,86,16,4,3,24,14,15,1,0,0,7,1,1,1,true
startElement,Digester,62,12,4,4,18,8,17,0,0,0,6,0,0,1,true
resolveEntity,Digester,61,14,6,4,10,4,9,0,0,0,2,0,0,1,true
begin,SetPropertiesRule,63,14,4,1,14,7,14,0,11,1,6,0,0,0.56,true
toString,StringCache,110,16,6,1,38,23,34,1,9,2,0,1,1,0.69,true
toString,StringCache,108,16,6,1,37,23,33,1,8,2,0,1,1,0.71,true
convert,UTF8Decoder,92,24,4,2,15,12,6,0,2,1,4,0,0,0.75,true
processCookieHeader,Cookies,217,41,5,3,14,10,16,1,8,2,8,0,0,0,true
appendCookieValue,ServerCookie,71,13,3,10,15,1,12,2,0,0,0,1,2,1,true
processParameters,Parameters,253,52,8,4,45,27,20,2,5,1,14,0,0,0.81,true
guessInstall,IntrospectionUtils,77,20,5,4,20,15,15,2,0,0,0,1,1,1,true
setProperty,IntrospectionUtils,133,30,9,4,26,19,16,2,0,0,1,1,1,1,true
internalMap,Mapper,86,17,4,3,22,9,17,1,25,5,8,0,0,0.14,true
internalMapWrapper,Mapper,168,32,6,3,39,20,18,2,71,4,13,0,0,0,true
URL,URL,94,23,5,2,21,11,21,0,0,0,0,0,0,1,true
parse,URL,86,18,5,3,17,7,12,1,0,0,0,0,0,1,true
init,AprEndpoint,205,46,8,0,71,11,30,3,3,2,3,2,2,0.95,true
start,AprEndpoint,61,9,3,0,19,4,13,2,0,0,0,2,2,1,true
run,Poller,122,34,7,0,32,11,16,0,13,1,5,0,0,0.68,true
run,Sendfile,151,30,6,0,38,15,27,0,33,2,8,0,0,0.39,true
acceptSocket,PoolTcpEndpoint,99,12,6,0,16,9,14,2,0,0,7,1,1,1,true
run,BlockPoller,68,16,6,0,16,12,26,0,6,1,0,0,0,0.67,true
execute,MbeansSource,129,18,6,0,34,27,35,3,0,0,6,0,0,1,true
execute,MbeansDescriptorsDOMSource,223,15,5,0,25,21,27,1,1,1,11,0,0,0.93,true
initMethods,MbeansDescriptorsIntrospectionSource,68,23,7,6,17,7,15,1,0,0,2,0,0,1,true
createManagedBean,MbeansDescriptorsIntrospectionSource,106,16,4,4,24,20,35,1,15,4,15,0,0,0.17,true
write,DefaultFileItem,76,6,6,1,7,8,15,0,0,0,0,0,0,1,true
parseRequest,FileUploadBase,148,15,7,1,27,20,30,2,0,0,11,1,1,1,true
readBodyData,MultipartStream,62,5,3,1,12,5,6,1,0,0,0,1,1,1,true
getTrustStore,JSSESocketFactory,74,15,6,2,13,8,11,1,0,0,6,0,0,1,true
init,JSSESocketFactory,92,13,3,0,23,12,20,3,0,0,0,0,0,1,true
parseAuthorizationDigest,HttpParser,65,14,3,1,10,4,13,0,0,0,0,0,0,1,true
run,ControlRunnable,85,15,8,0,15,6,16,0,8,2,10,0,0,0.69,true
service,JspServletWrapper,139,20,4,3,24,13,15,1,0,0,8,1,1,1,true
handleJspException,JspServletWrapper,63,9,3,1,11,8,19,1,8,3,7,0,0,0,true
generateJava,Compiler,194,20,5,0,23,18,60,1,17,5,39,0,0,0.69,true
isOutDated,Compiler,106,20,4,1,18,14,27,2,5,2,14,1,1,0.79,true
JavacErrorDetail,JavacErrorDetail,75,10,5,6,20,13,16,1,0,0,2,1,1,1,true
parseJavacMessage,ErrorDispatcher,64,8,4,3,13,11,14,1,0,0,0,0,0,1,true
loadTagFile,TagFileProcessor,89,7,3,4,16,13,32,1,20,5,23,1,1,0.05,true
processWebDotXml,JspConfig,156,31,12,1,40,33,37,1,10,1,10,0,0,0.41,true
findJspProperty,JspConfig,128,28,3,1,30,22,26,3,15,2,11,2,3,0.25,true
doParse,ParserController,85,13,5,3,21,8,18,4,2,1,3,0,0,0.94,true
determineSyntaxAndEncoding,ParserController,134,20,3,3,19,8,17,1,2,2,7,0,0,0.94,true
init,TagPluginManager,60,10,3,1,21,14,19,1,2,1,8,0,0,0.71,true
