Name,LOCC,NOM,NOA,AMW,FANOUT,ATFD,FDP,CBO,CC,CM,NOAM,NOPA,DIT,God Class
AbstractNioWorker,482,20,1,4.10,45,8,2,13,10,17,0,0,1,true
MemoryAwareThreadPoolExecutor,503,23,6,2.78,26,5,2,15,3,4,4,0,2,true
TrafficShapingHandlerTest,559,25,31,2,27,4,2,14,0,0,0,0,0,true
OpenSslSessionStats,97,13,1,1,0,0,0,0,0,0,0,0,0,false
CompactObjectSerializationTest,12,1,0,1,3,0,0,3,0,0,0,0,0,false
WebSocketHandshakeException,12,2,1,1,0,0,0,0,0,0,0,0,3,false
