Name,LOCC,NOM,NOA,AMW,FANOUT,ATFD,FDP,CBO,CC,CM,NOAM,NOPA,DIT,Brain Class
RubyDateFormat,363,8,24,9.62,4,2,1,1,1,1,0,0,2,true
NodeVisitor,96,94,0,0,0,0,0,0,94,94,0,0,0,false
